name,subGroup,year,value,lastValue,tcolour
Attlee,"2,283 days in office",10,0,0,#ee3224
Attlee,"2,283 days in office",20,0,0,#ee3224
Attlee,"2,283 days in office",30,0,0,#ee3224
Attlee,"2,283 days in office",40,0,0,#ee3224
Attlee,"2,283 days in office",50,0,0,#ee3224
Attlee,"2,283 days in office",60,0,0,#ee3224
Attlee,"2,283 days in office",70,0,0,#ee3224
Attlee,"2,283 days in office",80,0,0,#ee3224
Attlee,"2,283 days in office",90,0,0,#ee3224
Attlee,"2,283 days in office",100,0,0,#ee3224
Attlee,"2,283 days in office",110,0,0,#ee3224
Attlee,"2,283 days in office",120,0,0,#ee3224
Attlee,"2,283 days in office",130,0,0,#ee3224
Attlee,"2,283 days in office",140,0,0,#ee3224
Attlee,"2,283 days in office",150,0,0,#ee3224
Attlee,"2,283 days in office",160,0,0,#ee3224
Attlee,"2,283 days in office",170,0,0,#ee3224
Attlee,"2,283 days in office",180,0,0,#ee3224
Attlee,"2,283 days in office",190,0,0,#ee3224
Attlee,"2,283 days in office",200,0,0,#ee3224
Attlee,"2,283 days in office",210,0,0,#ee3224
Attlee,"2,283 days in office",220,0,0,#ee3224
Attlee,"2,283 days in office",230,0,0,#ee3224
Attlee,"2,283 days in office",240,0,0,#ee3224
Attlee,"2,283 days in office",250,0,0,#ee3224
Attlee,"2,283 days in office",260,0,0,#ee3224
Attlee,"2,283 days in office",270,0,0,#ee3224
Attlee,"2,283 days in office",280,0,0,#ee3224
Attlee,"2,283 days in office",290,0,0,#ee3224
Attlee,"2,283 days in office",300,0,0,#ee3224
Attlee,"2,283 days in office",310,1,0,#ee3224
Attlee,"2,283 days in office",320,1,1,#ee3224
Attlee,"2,283 days in office",330,1,1,#ee3224
Attlee,"2,283 days in office",340,1,1,#ee3224
Attlee,"2,283 days in office",350,1,1,#ee3224
Attlee,"2,283 days in office",360,1,1,#ee3224
Attlee,"2,283 days in office",370,1,1,#ee3224
Attlee,"2,283 days in office",380,1,1,#ee3224
Attlee,"2,283 days in office",390,1,1,#ee3224
Attlee,"2,283 days in office",400,1,1,#ee3224
Attlee,"2,283 days in office",410,1,1,#ee3224
Attlee,"2,283 days in office",420,1,1,#ee3224
Attlee,"2,283 days in office",430,1,1,#ee3224
Attlee,"2,283 days in office",440,1,1,#ee3224
Attlee,"2,283 days in office",450,1,1,#ee3224
Attlee,"2,283 days in office",460,1,1,#ee3224
Attlee,"2,283 days in office",470,1,1,#ee3224
Attlee,"2,283 days in office",480,1,1,#ee3224
Attlee,"2,283 days in office",490,1,1,#ee3224
Attlee,"2,283 days in office",500,1,1,#ee3224
Attlee,"2,283 days in office",510,1,1,#ee3224
Attlee,"2,283 days in office",520,1,1,#ee3224
Attlee,"2,283 days in office",530,1,1,#ee3224
Attlee,"2,283 days in office",540,1,1,#ee3224
Attlee,"2,283 days in office",550,1,1,#ee3224
Attlee,"2,283 days in office",560,1,1,#ee3224
Attlee,"2,283 days in office",570,1,1,#ee3224
Attlee,"2,283 days in office",580,1,1,#ee3224
Attlee,"2,283 days in office",590,1,1,#ee3224
Attlee,"2,283 days in office",600,1,1,#ee3224
Attlee,"2,283 days in office",610,1,1,#ee3224
Attlee,"2,283 days in office",620,1,1,#ee3224
Attlee,"2,283 days in office",630,1,1,#ee3224
Attlee,"2,283 days in office",640,1,1,#ee3224
Attlee,"2,283 days in office",650,1,1,#ee3224
Attlee,"2,283 days in office",660,1,1,#ee3224
Attlee,"2,283 days in office",670,1,1,#ee3224
Attlee,"2,283 days in office",680,1,1,#ee3224
Attlee,"2,283 days in office",690,1,1,#ee3224
Attlee,"2,283 days in office",700,1,1,#ee3224
Attlee,"2,283 days in office",710,1,1,#ee3224
Attlee,"2,283 days in office",720,1,1,#ee3224
Attlee,"2,283 days in office",730,1,1,#ee3224
Attlee,"2,283 days in office",740,1,1,#ee3224
Attlee,"2,283 days in office",750,1,1,#ee3224
Attlee,"2,283 days in office",760,1,1,#ee3224
Attlee,"2,283 days in office",770,1,1,#ee3224
Attlee,"2,283 days in office",780,1,1,#ee3224
Attlee,"2,283 days in office",790,1,1,#ee3224
Attlee,"2,283 days in office",800,1,1,#ee3224
Attlee,"2,283 days in office",810,1,1,#ee3224
Attlee,"2,283 days in office",820,1,1,#ee3224
Attlee,"2,283 days in office",830,1,1,#ee3224
Attlee,"2,283 days in office",840,2,1,#ee3224
Attlee,"2,283 days in office",850,2,2,#ee3224
Attlee,"2,283 days in office",860,2,2,#ee3224
Attlee,"2,283 days in office",870,2,2,#ee3224
Attlee,"2,283 days in office",880,2,2,#ee3224
Attlee,"2,283 days in office",890,2,2,#ee3224
Attlee,"2,283 days in office",900,2,2,#ee3224
Attlee,"2,283 days in office",910,2,2,#ee3224
Attlee,"2,283 days in office",920,2,2,#ee3224
Attlee,"2,283 days in office",930,2,2,#ee3224
Attlee,"2,283 days in office",940,2,2,#ee3224
Attlee,"2,283 days in office",950,2,2,#ee3224
Attlee,"2,283 days in office",960,2,2,#ee3224
Attlee,"2,283 days in office",970,2,2,#ee3224
Attlee,"2,283 days in office",980,2,2,#ee3224
Attlee,"2,283 days in office",990,2,2,#ee3224
Attlee,"2,283 days in office",1000,2,2,#ee3224
Baldwin,"2,639 days in office",10,0,0,#00539f
Baldwin,"2,639 days in office",20,0,0,#00539f
Baldwin,"2,639 days in office",30,0,0,#00539f
Baldwin,"2,639 days in office",40,0,0,#00539f
Baldwin,"2,639 days in office",50,0,0,#00539f
Baldwin,"2,639 days in office",60,0,0,#00539f
Baldwin,"2,639 days in office",70,0,0,#00539f
Baldwin,"2,639 days in office",80,0,0,#00539f
Baldwin,"2,639 days in office",90,0,0,#00539f
Baldwin,"2,639 days in office",100,0,0,#00539f
Baldwin,"2,639 days in office",110,0,0,#00539f
Baldwin,"2,639 days in office",120,0,0,#00539f
Baldwin,"2,639 days in office",130,0,0,#00539f
Baldwin,"2,639 days in office",140,0,0,#00539f
Baldwin,"2,639 days in office",150,0,0,#00539f
Baldwin,"2,639 days in office",160,0,0,#00539f
Baldwin,"2,639 days in office",170,0,0,#00539f
Baldwin,"2,639 days in office",180,1,0,#00539f
Baldwin,"2,639 days in office",190,1,1,#00539f
Baldwin,"2,639 days in office",200,1,1,#00539f
