name,subGroup,year,value,lastValue,tcolour
Attlee,from July 1945,10,0,0,#ee3224
Attlee,from July 1945,20,0,0,#ee3224
Attlee,from July 1945,30,0,0,#ee3224
Attlee,from July 1945,40,0,0,#ee3224
Attlee,from July 1945,50,0,0,#ee3224
Attlee,from July 1945,60,0,0,#ee3224
Attlee,from July 1945,70,0,0,#ee3224
Attlee,from July 1945,80,0,0,#ee3224
Attlee,from July 1945,90,0,0,#ee3224
Attlee,from July 1945,100,0,0,#ee3224
Attlee,from July 1945,110,0,0,#ee3224
Attlee,from July 1945,120,0,0,#ee3224
Attlee,from July 1945,130,0,0,#ee3224
Attlee,from July 1945,140,0,0,#ee3224
Attlee,from July 1945,150,0,0,#ee3224
Attlee,from July 1945,160,0,0,#ee3224
Attlee,from July 1945,170,0,0,#ee3224
Attlee,from July 1945,180,0,0,#ee3224
Attlee,from July 1945,190,0,0,#ee3224
Attlee,from July 1945,200,0,0,#ee3224
Attlee,from July 1945,210,0,0,#ee3224
Attlee,from July 1945,220,0,0,#ee3224
Attlee,from July 1945,230,0,0,#ee3224
Attlee,from July 1945,240,0,0,#ee3224
Attlee,from July 1945,250,0,0,#ee3224
Attlee,from July 1945,260,0,0,#ee3224
Attlee,from July 1945,270,0,0,#ee3224
Attlee,from July 1945,280,0,0,#ee3224
Attlee,from July 1945,290,0,0,#ee3224
Attlee,from July 1945,300,0,0,#ee3224
Attlee,from July 1945,310,1,0,#ee3224
Attlee,from July 1945,320,1,1,#ee3224
Attlee,from July 1945,330,1,1,#ee3224
Attlee,from July 1945,340,1,1,#ee3224
Attlee,from July 1945,350,1,1,#ee3224
Attlee,from July 1945,360,1,1,#ee3224
Attlee,from July 1945,370,1,1,#ee3224
Attlee,from July 1945,380,1,1,#ee3224
Attlee,from July 1945,390,1,1,#ee3224
Attlee,from July 1945,400,1,1,#ee3224
Attlee,from July 1945,410,1,1,#ee3224
Attlee,from July 1945,420,1,1,#ee3224
Attlee,from July 1945,430,1,1,#ee3224
Attlee,from July 1945,440,1,1,#ee3224
Attlee,from July 1945,450,1,1,#ee3224
Attlee,from July 1945,460,1,1,#ee3224
Attlee,from July 1945,470,1,1,#ee3224
Attlee,from July 1945,480,1,1,#ee3224
Attlee,from July 1945,490,1,1,#ee3224
Attlee,from July 1945,500,1,1,#ee3224
Attlee,from July 1945,510,1,1,#ee3224
Attlee,from July 1945,520,1,1,#ee3224
Attlee,from July 1945,530,1,1,#ee3224
Attlee,from July 1945,540,1,1,#ee3224
Attlee,from July 1945,550,1,1,#ee3224
Attlee,from July 1945,560,1,1,#ee3224
Attlee,from July 1945,570,1,1,#ee3224
Attlee,from July 1945,580,1,1,#ee3224
Attlee,from July 1945,590,1,1,#ee3224
Attlee,from July 1945,600,1,1,#ee3224
Attlee,from July 1945,610,1,1,#ee3224
Attlee,from July 1945,620,1,1,#ee3224
Attlee,from July 1945,630,1,1,#ee3224
Attlee,from July 1945,640,1,1,#ee3224
Attlee,from July 1945,650,1,1,#ee3224
Attlee,from July 1945,660,1,1,#ee3224
Attlee,from July 1945,670,1,1,#ee3224
Attlee,from July 1945,680,1,1,#ee3224
Attlee,from July 1945,690,1,1,#ee3224
Attlee,from July 1945,700,1,1,#ee3224
Attlee,from July 1945,710,1,1,#ee3224
Attlee,from July 1945,720,1,1,#ee3224
Attlee,from July 1945,730,1,1,#ee3224
Attlee,from July 1945,740,1,1,#ee3224
Attlee,from July 1945,750,1,1,#ee3224
Attlee,from July 1945,760,1,1,#ee3224
Attlee,from July 1945,770,1,1,#ee3224
Attlee,from July 1945,780,1,1,#ee3224
Attlee,from July 1945,790,1,1,#ee3224
Attlee,from July 1945,800,1,1,#ee3224
Attlee,from July 1945,810,1,1,#ee3224
Attlee,from July 1945,820,1,1,#ee3224
Attlee,from July 1945,830,1,1,#ee3224
Attlee,from July 1945,840,2,1,#ee3224
Attlee,from July 1945,850,2,2,#ee3224
Attlee,from July 1945,860,2,2,#ee3224
Attlee,from July 1945,870,2,2,#ee3224
Attlee,from July 1945,880,2,2,#ee3224
Attlee,from July 1945,890,2,2,#ee3224
Attlee,from July 1945,900,2,2,#ee3224
Attlee,from July 1945,910,2,2,#ee3224
Attlee,from July 1945,920,2,2,#ee3224
Attlee,from July 1945,930,2,2,#ee3224
Attlee,from July 1945,940,2,2,#ee3224
Attlee,from July 1945,950,2,2,#ee3224
Attlee,from July 1945,960,2,2,#ee3224
Attlee,from July 1945,970,2,2,#ee3224
Attlee,from July 1945,980,2,2,#ee3224
Attlee,from July 1945,990,2,2,#ee3224
Attlee,from July 1945,1000,2,2,#ee3224
Baldwin,from July 1945,10,0,0,#00539f
Baldwin,from May 1923,20,0,0,#00539f
Baldwin,from May 1923,30,0,0,#00539f
Baldwin,from May 1923,40,0,0,#00539f
Baldwin,from May 1923,50,0,0,#00539f
Baldwin,from May 1923,60,0,0,#00539f
Baldwin,from May 1923,70,0,0,#00539f
Baldwin,from May 1923,80,0,0,#00539f
Baldwin,from May 1923,90,0,0,#00539f
Baldwin,from May 1923,100,0,0,#00539f
Baldwin,from May 1923,110,0,0,#00539f
Baldwin,from May 1923,120,0,0,#00539f
Baldwin,from May 1923,130,0,0,#00539f
Baldwin,from May 1923,140,0,0,#00539f
Baldwin,from May 1923,150,0,0,#00539f
Baldwin,from May 1923,160,0,0,#00539f
Baldwin,from May 1923,170,0,0,#00539f
Baldwin,from May 1923,180,1,0,#00539f
Baldwin,from May 1923,190,1,1,#00539f
Baldwin,from May 1923,200,1,1,#00539f
Baldwin,from May 1923,210,1,1,#00539f
Baldwin,from May 1923,220,1,1,#00539f
Baldwin,from May 1923,230,1,1,#00539f
Baldwin,from May 1923,240,1,1,#00539f
Baldwin,from May 1923,250,1,1,#00539f
Baldwin,from May 1923,260,1,1,#00539f
Baldwin,from May 1923,270,1,1,#00539f
Baldwin,from May 1923,280,1,1,#00539f
Baldwin,from May 1923,290,1,1,#00539f
Baldwin,from May 1923,300,1,1,#00539f
Baldwin,from May 1923,310,1,1,#00539f
Baldwin,from May 1923,320,1,1,#00539f
Baldwin,from May 1923,330,1,1,#00539f
Baldwin,from May 1923,340,1,1,#00539f
Baldwin,from May 1923,350,1,1,#00539f
Baldwin,from May 1923,360,1,1,#00539f
Baldwin,from May 1923,370,1,1,#00539f
Baldwin,from May 1923,380,1,1,#00539f
Baldwin,from May 1923,390,1,1,#00539f
Baldwin,from May 1923,400,1,1,#00539f
Baldwin,from May 1923,410,1,1,#00539f
Baldwin,from May 1923,420,1,1,#00539f
Baldwin,from May 1923,430,1,1,#00539f
Baldwin,from May 1923,440,1,1,#00539f
Baldwin,from May 1923,450,1,1,#00539f
Baldwin,from May 1923,460,1,1,#00539f
Baldwin,from May 1923,470,1,1,#00539f
Baldwin,from May 1923,480,1,1,#00539f
Baldwin,from May 1923,490,1,1,#00539f
Baldwin,from May 1923,500,1,1,#00539f
Baldwin,from May 1923,510,1,1,#00539f
Baldwin,from May 1923,520,1,1,#00539f
Baldwin,from May 1923,530,1,1,#00539f
Baldwin,from May 1923,540,1,1,#00539f
Baldwin,from May 1923,550,1,1,#00539f
Baldwin,from May 1923,560,1,1,#00539f
