Name,Value,Year,LastValue
Balfour,0,1900,0
Balfour,0,1901,0
Balfour,0,1902,0
Balfour,5,1903,0
Balfour,5,1904,5
Balfour,6,1905,5
Balfour,6,1906,6
Balfour,6,1907,6
Balfour,6,1908,6
Balfour,6,1909,6
Balfour,6,1910,6
Balfour,6,1911,6
Balfour,6,1912,6
Balfour,6,1913,6
Balfour,6,1914,6
Balfour,6,1915,6
Balfour,6,1916,6
Balfour,6,1917,6
Balfour,6,1918,6
Balfour,6,1919,6
Balfour,6,1920,6
Balfour,6,1921,6
Balfour,6,1922,6
Balfour,6,1923,6
Balfour,6,1924,6
Balfour,6,1925,6
Balfour,6,1926,6
Balfour,6,1927,6
Balfour,6,1928,6
Balfour,6,1929,6
Balfour,6,1930,6
Balfour,6,1931,6
Balfour,6,1932,6
Balfour,6,1933,6
Balfour,6,1934,6
Balfour,6,1935,6
Balfour,6,1936,6
Balfour,6,1937,6
Balfour,6,1938,6
Balfour,6,1939,6
Balfour,6,1940,6
Balfour,6,1941,6
Balfour,6,1942,6
Balfour,6,1943,6
Balfour,6,1944,6
Balfour,6,1945,6
Balfour,6,1946,6
Balfour,6,1947,6
Balfour,6,1948,6
Balfour,6,1949,6
Balfour,6,1950,6
Balfour,6,1951,6
Balfour,6,1952,6
Balfour,6,1953,6
Balfour,6,1954,6
Balfour,6,1955,6
Balfour,6,1956,6
Balfour,6,1957,6
Balfour,6,1958,6
Balfour,6,1959,6
Balfour,6,1960,6
Balfour,6,1961,6
Balfour,6,1962,6
Balfour,6,1963,6
Balfour,6,1964,6
Balfour,6,1965,6
Balfour,6,1966,6
Balfour,6,1967,6
Balfour,6,1968,6
Balfour,6,1969,6
Balfour,6,1970,6
Balfour,6,1971,6
Balfour,6,1972,6
Balfour,6,1973,6
Balfour,6,1974,6
Balfour,6,1975,6
Balfour,6,1976,6
Balfour,6,1977,6
Balfour,6,1978,6
Balfour,6,1979,6
Balfour,6,1980,6
Balfour,6,1981,6
Balfour,6,1982,6
Balfour,6,1983,6
Balfour,6,1984,6
Balfour,6,1985,6
Balfour,6,1986,6
Balfour,6,1987,6
Balfour,6,1988,6
Balfour,6,1989,6
Balfour,6,1990,6
Balfour,6,1991,6
Balfour,6,1992,6
Balfour,6,1993,6
Balfour,6,1994,6
Balfour,6,1995,6
Balfour,6,1996,6
Balfour,6,1997,6
Balfour,6,1998,6
Balfour,6,1999,6
Balfour,6,2000,6
Balfour,6,2001,6
Balfour,6,2002,6
Balfour,6,2003,6
Balfour,6,2004,6
Balfour,6,2005,6
Balfour,6,2006,6
Balfour,6,2007,6
Balfour,6,2008,6
Balfour,6,2009,6
Balfour,6,2010,6
Balfour,6,2011,6
Balfour,6,2012,6
Balfour,6,2013,6
Balfour,6,2014,6
Balfour,6,2015,6
Balfour,6,2016,6
Balfour,6,2017,6
