name,value,year,lastValue,tcolour
Wilson,0,1,0,#ee3224
Wilson,0,2,0,#ee3224
Wilson,0,3,0,#ee3224
Wilson,0,4,0,#ee3224
Wilson,0,5,0,#ee3224
Wilson,0,6,0,#ee3224
Wilson,0,7,0,#ee3224
Wilson,0,8,0,#ee3224
Wilson,0,9,0,#ee3224
Wilson,0,10,0,#ee3224
Wilson,0,11,0,#ee3224
Wilson,0,12,0,#ee3224
Wilson,0,13,0,#ee3224
Wilson,0,14,0,#ee3224
Wilson,0,15,0,#ee3224
Wilson,0,16,0,#ee3224
Wilson,1,17,0,#ee3224
Wilson,1,18,1,#ee3224
Wilson,1,19,1,#ee3224
Wilson,1,20,1,#ee3224
Wilson,2,21,1,#ee3224
Wilson,2,22,2,#ee3224
Wilson,2,23,2,#ee3224
Wilson,2,24,2,#ee3224
Wilson,2,25,2,#ee3224
Wilson,2,26,2,#ee3224
Wilson,2,27,2,#ee3224
Wilson,2,28,2,#ee3224
Wilson,2,29,2,#ee3224
Wilson,2,30,2,#ee3224
Wilson,2,31,2,#ee3224
Wilson,2,32,2,#ee3224
Wilson,2,33,2,#ee3224
Wilson,3,34,2,#ee3224
Wilson,3,35,3,#ee3224
Wilson,3,36,3,#ee3224
Wilson,3,37,3,#ee3224
Wilson,3,38,3,#ee3224
Wilson,4,39,3,#ee3224
Wilson,5,40,4,#ee3224
Wilson,6,41,5,#ee3224
Wilson,7,42,6,#ee3224
Wilson,7,43,7,#ee3224
Wilson,7,44,7,#ee3224
Wilson,7,45,7,#ee3224
Wilson,7,46,7,#ee3224
Wilson,7,47,7,#ee3224
Wilson,7,48,7,#ee3224
Wilson,7,49,7,#ee3224
Wilson,7,50,7,#ee3224
Wilson,7,51,7,#ee3224
Wilson,7,52,7,#ee3224
Wilson,7,53,7,#ee3224
Wilson,7,54,7,#ee3224
Wilson,7,55,7,#ee3224
Wilson,7,56,7,#ee3224
Wilson,7,57,7,#ee3224
Wilson,7,58,7,#ee3224
Wilson,7,59,7,#ee3224
Wilson,8,60,7,#ee3224
Wilson,8,61,8,#ee3224
Wilson,8,62,8,#ee3224
Wilson,8,63,8,#ee3224
Wilson,8,64,8,#ee3224
Wilson,8,65,8,#ee3224
Wilson,8,66,8,#ee3224
Wilson,8,67,8,#ee3224
Wilson,8,68,8,#ee3224
Wilson,8,69,8,#ee3224
Wilson,8,70,8,#ee3224
Wilson,8,71,8,#ee3224
Wilson,8,72,8,#ee3224
Wilson,8,73,8,#ee3224
Wilson,8,74,8,#ee3224
Wilson,9,75,8,#ee3224
Wilson,10,76,9,#ee3224
Wilson,10,77,10,#ee3224
Wilson,10,78,10,#ee3224
Wilson,10,79,10,#ee3224
Wilson,10,80,10,#ee3224
Wilson,10,81,10,#ee3224
Wilson,10,82,10,#ee3224
Wilson,10,83,10,#ee3224
Wilson,10,84,10,#ee3224
Wilson,10,85,10,#ee3224
Wilson,10,86,10,#ee3224
Wilson,10,87,10,#ee3224
Wilson,10,88,10,#ee3224
Wilson,10,89,10,#ee3224
Wilson,10,90,10,#ee3224
Wilson,10,91,10,#ee3224
Wilson,11,92,10,#ee3224
Wilson,11,93,11,#ee3224
Wilson,11,94,11,#ee3224
Wilson,11,95,11,#ee3224
Wilson,11,96,11,#ee3224
