name,value,year,lastvalue
Balfour,0,1,0
Balfour,0,2,0
Balfour,0,3,0
Balfour,0,4,0
Balfour,0,5,0
Balfour,0,6,0
Balfour,0,7,0
Balfour,0,8,0
Balfour,0,9,0
Balfour,0,10,0
Balfour,0,11,0
Balfour,0,12,0
Balfour,0,13,0
Balfour,1,14,0
Balfour,6,15,1
Balfour,6,16,6
Balfour,6,17,6
Balfour,6,18,6
Balfour,6,19,6
Balfour,6,20,6
Balfour,6,21,6
Balfour,6,22,6
Balfour,6,23,6
Balfour,6,24,6
Balfour,6,25,6
Balfour,6,26,6
Balfour,6,27,6
Balfour,6,28,6
Balfour,6,29,6
Balfour,6,30,6
Balfour,6,31,6
Balfour,7,32,6
Balfour,7,33,7
Balfour,7,34,7
Balfour,7,35,7
Balfour,7,36,7
Balfour,7,37,7
Balfour,7,38,7
Balfour,7,39,7
Balfour,7,40,7
Balfour,7,41,7
Balfour,7,42,7
Balfour,7,43,7
Balfour,7,44,7
Balfour,7,45,7
Balfour,7,46,7
Balfour,7,47,7
Balfour,7,48,7
Balfour,7,49,7
Balfour,7,50,7
Balfour,7,51,7
Balfour,7,52,7
Balfour,7,53,7
Balfour,7,54,7
Balfour,7,55,7
Balfour,7,56,7
Balfour,7,57,7
Balfour,7,58,7
Balfour,7,59,7
Balfour,7,60,7
Balfour,7,61,7
Balfour,7,62,7
Balfour,7,63,7
Balfour,7,64,7
Balfour,7,65,7
Balfour,7,66,7
Balfour,7,67,7
Balfour,7,68,7
Balfour,7,69,7
Balfour,7,70,7
Balfour,7,71,7
Balfour,7,72,7
Balfour,7,73,7
Balfour,7,74,7
Balfour,7,75,7
Balfour,7,76,7
Balfour,7,77,7
Balfour,7,78,7
Balfour,7,79,7
Balfour,7,80,7
Balfour,7,81,7
Balfour,7,82,7
Balfour,7,83,7
Balfour,7,84,7
Balfour,7,85,7
Balfour,7,86,7
Balfour,7,87,7
Balfour,7,88,7
Balfour,7,89,7
Balfour,7,90,7
Balfour,7,91,7
Balfour,7,92,7
Balfour,7,93,7
Balfour,7,94,7
Balfour,7,95,7
Balfour,7,96,7
Balfour,7,97,7
Balfour,7,98,7
Balfour,7,99,7
Balfour,7,100,7
Balfour,7,101,7
Balfour,7,102,7
Balfour,7,103,7
Balfour,7,104,7
Balfour,7,105,7
Balfour,7,106,7
Balfour,7,107,7
Balfour,7,108,7
Balfour,7,109,7
Balfour,7,110,7
Balfour,7,111,7
Balfour,7,112,7
Balfour,7,113,7
Balfour,7,114,7
Balfour,7,115,7
Balfour,7,116,7
Balfour,7,117,7
Balfour,7,118,7
Balfour,7,119,7
Balfour,7,120,7
Balfour,7,121,7
Balfour,7,122,7
Balfour,7,123,7
Balfour,7,124,7
Balfour,7,125,7
Balfour,7,126,7
Balfour,7,127,7
Balfour,7,128,7
Balfour,7,129,7
Balfour,7,130,7
Balfour,7,131,7
Balfour,7,132,7
Balfour,7,133,7
Balfour,7,134,7
Balfour,7,135,7
Balfour,7,136,7
Balfour,7,137,7
Balfour,7,138,7
Balfour,7,139,7
Balfour,7,140,7
Asquith,0,1,0
Asquith,0,2,0
Asquith,0,3,0
Asquith,0,4,0
Asquith,0,5,0
Asquith,0,6,0
Asquith,0,7,0
Asquith,0,8,0
Asquith,0,9,0
Asquith,0,10,0
Asquith,0,11,0
Asquith,0,12,0
Asquith,0,13,0
Asquith,0,14,0
Asquith,0,15,0
Asquith,0,16,0
Asquith,0,17,0
Asquith,0,18,0
Asquith,0,19,0
Asquith,0,20,0
Asquith,0,21,0
Asquith,0,22,0
Asquith,0,23,0
Asquith,0,24,0
Asquith,0,25,0
Asquith,0,26,0
Asquith,0,27,0
Asquith,0,28,0
Asquith,0,29,0
Asquith,0,30,0
Asquith,0,31,0
Asquith,0,32,0
Asquith,0,33,0
Asquith,0,34,0
Asquith,0,35,0
Asquith,0,36,0
Asquith,0,37,0
Asquith,0,38,0
Asquith,0,39,0
Asquith,0,40,0
Asquith,0,41,0
Asquith,0,42,0
Asquith,0,43,0
Asquith,0,44,0
Asquith,0,45,0
Asquith,0,46,0
Asquith,0,47,0
Asquith,0,48,0
