name,groups,value,year,lastValue,tcolour
Balfour,CON,0,1,1,#00539f
Balfour,CON,0,2,1,#00539f
Balfour,CON,0,3,1,#00539f
Balfour,CON,0,4,1,#00539f
Balfour,CON,0,5,1,#00539f
Balfour,CON,0,6,1,#00539f
Balfour,CON,0,7,1,#00539f
Balfour,CON,0,8,1,#00539f
Balfour,CON,0,9,1,#00539f
Balfour,CON,0,10,1,#00539f
Balfour,CON,0,11,1,#00539f
Balfour,CON,0,12,1,#00539f
Balfour,CON,0,13,1,#00539f
Balfour,CON,1,14,1,#00539f
Balfour,CON,6,15,1,#00539f
Balfour,CON,6,16,6,#00539f
Balfour,CON,6,17,6,#00539f
Balfour,CON,6,18,6,#00539f
Balfour,CON,6,19,6,#00539f
Balfour,CON,6,20,6,#00539f
Balfour,CON,6,21,6,#00539f
Balfour,CON,6,22,6,#00539f
Balfour,CON,6,23,6,#00539f
Balfour,CON,6,24,6,#00539f
Balfour,CON,6,25,6,#00539f
Balfour,CON,6,26,6,#00539f
Balfour,CON,6,27,6,#00539f
Balfour,CON,6,28,6,#00539f
Balfour,CON,6,29,6,#00539f
Balfour,CON,6,30,6,#00539f
Balfour,CON,6,31,6,#00539f
Balfour,CON,7,32,6,#00539f
Balfour,CON,7,33,7,#00539f
Balfour,CON,7,34,7,#00539f
Balfour,CON,7,35,7,#00539f
Balfour,CON,7,36,7,#00539f
Balfour,CON,7,37,7,#00539f
Balfour,CON,7,38,7,#00539f
Balfour,CON,7,39,7,#00539f
Balfour,CON,7,40,7,#00539f
Balfour,CON,7,41,7,#00539f
Balfour,CON,7,42,7,#00539f
Balfour,CON,7,43,7,#00539f
Balfour,CON,7,44,7,#00539f
Balfour,CON,7,45,7,#00539f
Balfour,CON,7,46,7,#00539f
Balfour,CON,7,47,7,#00539f
Balfour,CON,7,48,7,#00539f
Balfour,CON,7,49,7,#00539f
Balfour,CON,7,50,7,#00539f
Balfour,CON,7,51,7,#00539f
Balfour,CON,7,52,7,#00539f
Balfour,CON,7,53,7,#00539f
Balfour,CON,7,54,7,#00539f
Balfour,CON,7,55,7,#00539f
Balfour,CON,7,56,7,#00539f
Balfour,CON,7,57,7,#00539f
Balfour,CON,7,58,7,#00539f
Balfour,CON,7,59,7,#00539f
Balfour,CON,7,60,7,#00539f
Balfour,CON,7,61,7,#00539f
Balfour,CON,7,62,7,#00539f
Balfour,CON,7,63,7,#00539f
Balfour,CON,7,64,7,#00539f
